"Name","Description","Latitude","Longitude","Address","City","Zip","State","Country"
"Afrikaans (af)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:af<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/af","-30.559482","22.937506","","","","","ZA"
"Akan (ak)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ak<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ak<br>","7.946527","-1.023194","","","","","GH"
"Albanian(sq)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:sq<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/sq<br><br>","41.153332","20.168331","","","","","AL"
"Arabic (ar)","<br>","24.198873245219474","46.0546875","","","","",""
"Armenian (hy-AM)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:hy-AM<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/hy-AM<br>","40.069099","45.038189","","","","","AM"
"Assamese (as)","<br>","26.2006043","92.9375739","","","","","IN"
"Asturian (ast)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ast<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ast<br>","43.2504393","-5.9832577","","","","","ES"
"Basque (eu)","<a href=""javascript:void(0);/*1322718528217*/"">L10n Team page</a><br><br>https://wiki.mozilla.org/L10n:Teams:eu<a href=""javascript:void(0);/*1322718559839*/""><br><br><br>Dashboard</a><br>","42.9896248","-2.6189273","","","","","ES"
"Belarusian (be)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:be<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/be<br><br>","53.709807","27.953389","","","","","BY"
"Bengali (bn-BD)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:bn-BD<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/bn-BD<br>","23.709921","90.407143","","","","","BD"
"Bengali (bn-IN)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:bn-IN<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/bn-IN<br>","22.9867569","87.8549755","","","","","IN"
"Bosnian (bs)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:bs<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/bs","43.915886","17.679076","","","","","BA"
"Breton (br)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:br<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/br","48.2020471","-2.9326435","","","","","FR"
"Bulgarian (bg)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:bg<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/bg<br>","42.733883","25.48583","","","","","BG"
"Burmese (my-MM)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:my-MM","21.913965","95.956223","","","","",""
"Catalan (ca)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ca<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ca<br>","42.546245","1.601554","","","","","AD"
"Chinese Simplified (zh-CN)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:zh-CN<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/zh-CN","35.88905007936091","104.501953125","","","","",""
"Chinese Traditional (zh-TW)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ca<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ca","23.69781","120.960515","","","","","TW"
"Croatian (hr)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:hr<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/hr","45.1","15.2","","","","","HR"
"Czech (cs)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:cs<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/cs","49.817492","15.472962","","","","","CZ"
"Danish (da)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:da<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/da","56.26392","9.501785","","","","","DK"
"Dutch (nl)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:nl<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/nl","52.132633","5.291266","","","","","NL"
"English (en-GB)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:en-GB<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/en-GB","55.378051","-3.435973","","","","","GB"
"English (en-US)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:en-US<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/en-US","37.09024","-95.712891","","","","","US"
"Esperanto (eo)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:eo<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/eo","47.683141741710074","6.416015625","","","","",""
"Estonian (et)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:et<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/et","58.595272","25.013607","","","","","EE"
"Finnish (fi)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:fi<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/fi","61.92411","25.748151","","","","","FI"
"French (fr)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:fr<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/fr","48.856614","2.3522219","","","","","FR"
"Frisian (fy-NL)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:fy-NL<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/fy-NL","53.1641642","5.7817542","","","","","NL"
"Gaelic Scotland (gd)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:gd<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/gd","56.4906712","-4.2026458","","","","","GB"
"Galician (gl)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:gl<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/gl","42.5750554","-8.1338558","","","","","ES"
"Georgian (ka)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ka<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ka","41.709981","44.792998","","","","",""
"German (de)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:de<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/de","50.7327045","7.0963113","","","","","DE"
"Greek (el)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:el<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/el","39.074208","21.824312","","","","","GR"
"Gujarathi (gu-IN)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:gu-IN<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/gu-IN","22.258652","71.1923805","","","","","IN"
"Hebrew (he)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:he<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/he","31.046051","34.851612","","","","","IL"
"Hindi (hi-IN)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:hi-IN<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/hi-IN","28.635308","77.22496","","","","","IN"
"Hungurain (hu)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:hu<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/hu","47.162494","19.503304","","","","","HU"
"Icelandic (is)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:is<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/is","64.963051","-19.020835","","","","","IS"
"Indonesia (id)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:id<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/id","-6.211544","106.845172","","","","",""
"Irish (ga-IE)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ga-IE<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ga-IE","45.583289756006316","6.591796875","","","","","IE"
"Italian (it)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:it<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/it","41.87194","12.56738","","","","","IT"
"Japanese (jp)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:jp<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/jp","36.204824","138.252924","","","","","JP"
"Kananda (kn)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:kn<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/kn","12.9715987","77.5945627","","","","","IN"
"Kazakh (kk)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:kk<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/kk","48.019573","66.923684","","","","","KZ"
"Khmer (kh)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:kh<br><br>","12.565679","104.990963","","","","","KH"
"Korean (ko)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ko<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/ko","35.907757","127.766922","","","","","KR"
"Kurdish (ku)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:ku","35.9553579","47.1362125","","","","","IR"
"Laos (lo)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:lo","19.85627","102.495496","","","","","LA"
"Latvian (lv)","L10n Team Page:<br>https://wiki.mozilla.org/L10n:Teams:lv<br><br>Dashboard<br>https://l10n-stage-sj.mozilla.org/teams/lv","56.879635","24.603189","","","","","LV"
